id,name,gender,age,eye_color,hair_color,films,species,url
fe93adf2-2f3a-4ec4-9f68-5422f1b87c01,Pazu,Male,13,Black,Brown,['https://ghibliapi.herokuapp.com/films/2baf70d1-42bb-4437-b551-e5fed5a87abe'],https://ghibliapi.herokuapp.com/species/af3910a6-429f-4c74-9ad5-dfe1c4aa04f2,https://ghibliapi.herokuapp.com/people/fe93adf2-2f3a-4ec4-9f68-5422f1b87c01
598f7048-74ff-41e0-92ef-87dc1ad980a9,Lusheeta Toel Ul Laputa,Female,13,Black,Black,['https://ghibliapi.herokuapp.com/films/2baf70d1-42bb-4437-b551-e5fed5a87abe'],https://ghibliapi.herokuapp.com/species/af3910a6-429f-4c74-9ad5-dfe1c4aa04f2,https://ghibliapi.herokuapp.com/people/598f7048-74ff-41e0-92ef-87dc1ad980a9
3bc0b41e-3569-4d20-ae73-2da329bf0786,Dola,Female,60,Black,Peach,['https://ghibliapi.herokuapp.com/films/2baf70d1-42bb-4437-b551-e5fed5a87abe'],https://ghibliapi.herokuapp.com/species/af3910a6-429f-4c74-9ad5-dfe1c4aa04f2,https://ghibliapi.herokuapp.com/people/3bc0b41e-3569-4d20-ae73-2da329bf0786
abe886e7-30c8-4c19-aaa5-d666e60d14de,Romska Palo Ul Laputa,Male,33,Black,Brown,['https://ghibliapi.herokuapp.com/films/2baf70d1-42bb-4437-b551-e5fed5a87abe'],https://ghibliapi.herokuapp.com/species/af3910a6-429f-4c74-9ad5-dfe1c4aa04f2,https://ghibliapi.herokuapp.com/people/abe886e7-30c8-4c19-aaa5-d666e60d14de
e08880d0-6938-44f3-b179-81947e7873fc,Uncle Pom,Male,Unspecified/Elderly,Black,White,['https://ghibliapi.herokuapp.com/films/2baf70d1-42bb-4437-b551-e5fed5a87abe'],https://ghibliapi.herokuapp.com/species/af3910a6-429f-4c74-9ad5-dfe1c4aa04f2,https://ghibliapi.herokuapp.com/people/e08880d0-6938-44f3-b179-81947e7873fc
5c83c12a-62d5-4e92-8672-33ac76ae1fa0,General Muoro,Male,Unspecified/Adult,Black,None,['https://ghibliapi.herokuapp.com/films/2baf70d1-42bb-4437-b551-e5fed5a87abe'],https://ghibliapi.herokuapp.com/species/af3910a6-429f-4c74-9ad5-dfe1c4aa04f2,https://ghibliapi.herokuapp.com/people/5c83c12a-62d5-4e92-8672-33ac76ae1fa0
3f4c408b-0bcc-45a0-bc8b-20ffc67a2ede,Duffi,Male,Unspecified/Adult,Dark brown,Dark brown,['https://ghibliapi.herokuapp.com/films/2baf70d1-42bb-4437-b551-e5fed5a87abe'],https://ghibliapi.herokuapp.com/species/af3910a6-429f-4c74-9ad5-dfe1c4aa04f2,https://ghibliapi.herokuapp.com/people/3f4c408b-0bcc-45a0-bc8b-20ffc67a2ede
fcb4a2ac-5e41-4d54-9bba-33068db083ca,Louis,Male,30,Dark brown,Dark brown,['https://ghibliapi.herokuapp.com/films/2baf70d1-42bb-4437-b551-e5fed5a87abe'],https://ghibliapi.herokuapp.com/species/af3910a6-429f-4c74-9ad5-dfe1c4aa04f2,https://ghibliapi.herokuapp.com/people/fcb4a2ac-5e41-4d54-9bba-33068db083ca
2cb76c15-772a-4cb3-9919-3652f56611d0,Charles,Male,Unspecified/Adult,Dark brown,Light brown,['https://ghibliapi.herokuapp.com/films/2baf70d1-42bb-4437-b551-e5fed5a87abe'],https://ghibliapi.herokuapp.com/species/af3910a6-429f-4c74-9ad5-dfe1c4aa04f2,https://ghibliapi.herokuapp.com/people/2cb76c15-772a-4cb3-9919-3652f56611d0
f6f2c477-98aa-4796-b9aa-8209fdeed6b9,Henri,Male,Unspecified/Adult,Dark brown,Reddish brown,['https://ghibliapi.herokuapp.com/films/2baf70d1-42bb-4437-b551-e5fed5a87abe'],https://ghibliapi.herokuapp.com/species/af3910a6-429f-4c74-9ad5-dfe1c4aa04f2,https://ghibliapi.herokuapp.com/people/f6f2c477-98aa-4796-b9aa-8209fdeed6b9
